Variable,Category,n,Percent,Mean,SD,Min,Max
Playstyle,Multiplayer - online- With real life friends and online friends,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - both RL friends and strangers,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - but with friends in the same room,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - friends I've known online for years,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - mix,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - mix of real life and online friends,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - mix of real life friends and strangers,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - mixture of all three online options above,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - real life friends and online acquaintances,1,0.008,NA,NA,NA,NA
Playstyle,"Multiplayer - online - sometimes with strangers, other times with online acquaintances",1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - Strangers vs Bots/AI,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with friend and strangers,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - Online - With friends and strangers,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with friends and/or strangers,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with friends i met online and i've spoked to them,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with friends ive met,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with gf,1,0.008,NA,NA,NA,NA
Playstyle,multiplayer - online - with girlfriend and strangers,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with internet friends,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with IRL teammates,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with my Girlfriend,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - Online - With my girlfriend,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with online acquaintances or teammates,2508,19.694,NA,NA,NA,NA
Playstyle,Multiplayer - online - with online acquaintances or teammates and with real life friends,1,0.008,NA,NA,NA,NA
Playstyle,Multiplayer - online - with online and real life friends,1,0.008,NA,NA,NA,NA
